address,price,sqft,verdict,score,capture_%,recommendation
"15535 San Fernando Mission Blvd, San Fernando CA 91345",,23598.0,Strong Buy,88,39.5,Advance to LOI / broker diligence.
"28632 Roadside Dr, Agoura Hills CA 91301",,34459.0,Strong Buy,84,20.2,Advance to LOI / broker diligence.
"1175 Swallow Ln, Simi Valley CA 93065",,8120.0,Strong Buy,85,46.7,Advance to LOI / broker diligence.
"16133 Ventura Blvd, Encino CA 91436",,88890.0,Strong Buy,84,67.4,Advance to LOI / broker diligence.
"6345 Balboa Blvd, Encino CA 91316",,88890.0,Caution,52,10.2,Only if better candidates are exhausted; mitigate the listed risks first.
"31111 Agoura Rd, Westlake Village CA 91361",,2246.0,Viable,63,8.2,Pursue with a differentiation plan; confirm suite + lease terms.
"10630 Sepulveda Blvd, Mission Hills CA 91345",,1800.0,Strong Buy,88,38.8,Advance to LOI / broker diligence.
"19567 Oxnard St, Tarzana CA 91356",,4261.0,Viable,60,8.8,Pursue with a differentiation plan; confirm suite + lease terms.
"2885 Tapo St, Simi Valley CA 93063",,1370.0,Strong Buy,91,49.3,Advance to LOI / broker diligence.
"14901 Rinaldi St, Mission Hills CA 91345",,1200.0,Strong Buy,88,37.1,Advance to LOI / broker diligence.
"22119 Sherman Way, Canoga Park CA 91303",,1174.0,Strong Buy,79,28.3,Advance to LOI / broker diligence.
"7049 Owensmouth Ave, Canoga Park CA 91303",,1721.0,Strong Buy,79,29.0,Advance to LOI / broker diligence.
"28720 Roadside Dr, Agoura Hills CA 91301",,9066.0,Strong Buy,84,20.1,Advance to LOI / broker diligence.
"1145 Lindero Canyon Rd, Westlake Village CA 91362",,3040.0,Viable,70,11.6,Pursue with a differentiation plan; confirm suite + lease terms.
"20040-20060 Ventura Blvd, Woodland Hills CA 91364",,2400.0,Viable,71,12.2,Pursue with a differentiation plan; confirm suite + lease terms.
"5741 Las Virgenes Rd, Calabasas CA 91302",,1700.0,Strong Buy,85,19.0,Advance to LOI / broker diligence.
"403-405 N MacLay Ave, San Fernando CA 91340",,1234.0,Strong Buy,84,54.3,Advance to LOI / broker diligence.
"18032 Ventura Blvd, Encino CA 91316",,980.0,Strong Buy,74,44.9,Advance to LOI / broker diligence.
"2220 Lynn Rd, Thousand Oaks CA 91360",,900.0,Strong Buy,79,20.2,Advance to LOI / broker diligence.
"20301 Ventura Blvd, Woodland Hills CA 91364",,2208.0,Strong Buy,74,14.0,Advance to LOI / broker diligence.
"1839-1883 Erringer Rd, Simi Valley CA 93065",,1102.0,Strong Buy,85,66.0,Advance to LOI / broker diligence.
"2412 N Ponderosa Dr, Camarillo CA 93010",,1200.0,Strong Buy,90,48.1,Advance to LOI / broker diligence.
"19331 Business Center Dr, Northridge CA 91324",,3060.0,Strong Buy,83,36.9,Advance to LOI / broker diligence.
"4542 Las Posas Rd, Camarillo CA 93010",,6775.0,Strong Buy,90,46.1,Advance to LOI / broker diligence.
"18515-18549 Roscoe Blvd, Northridge CA 91324",,3570.0,Strong Buy,83,29.2,Advance to LOI / broker diligence.
"585-605 E Los Angeles Ave, Simi Valley CA 93065",,758.0,Strong Buy,85,53.2,Advance to LOI / broker diligence.
"5932 Lubao Ave, Woodland Hills CA 91367",,2455.0,Strong Buy,78,21.7,Advance to LOI / broker diligence.
"223 E Thousand Oaks Blvd, Thousand Oaks CA 91360",,6120.0,Viable,68,12.4,Pursue with a differentiation plan; confirm suite + lease terms.
"301 Science Dr, Moorpark CA 93021",,2567.0,Strong Buy,89,64.4,Advance to LOI / broker diligence.
"558 St. Charles Dr, Thousand Oaks CA 91360",,9878.0,Viable,69,12.9,Pursue with a differentiation plan; confirm suite + lease terms.
"2045 Royal Ave, Simi Valley CA 93065",,5987.0,Strong Buy,85,64.6,Advance to LOI / broker diligence.
"18345 Ventura Blvd, Tarzana CA 91356",,4440.0,Strong Buy,74,15.6,Advance to LOI / broker diligence.
"16260 Ventura Blvd, Encino CA 91436",,7181.0,Strong Buy,84,70.1,Advance to LOI / broker diligence.
"18540 Sherman Way, Reseda CA 91335",,2700.0,Strong Buy,72,87.1,Advance to LOI / broker diligence.
"6742 Winnetka Ave, Winnetka CA 91306",,2380.0,Strong Buy,74,30.9,Advance to LOI / broker diligence.
"2796 Sycamore Dr, Simi Valley CA 93065",,5825.0,Strong Buy,85,54.8,Advance to LOI / broker diligence.
"311 Haigh Rd, Thousand Oaks CA 91320",,4239.0,Strong Buy,83,22.5,Advance to LOI / broker diligence.
"501 Marin St, Thousand Oaks CA 91360",,6374.0,Viable,66,11.1,Pursue with a differentiation plan; confirm suite + lease terms.
"18607 Ventura Blvd, Tarzana CA 91356",,1000.0,Strong Buy,78,24.0,Advance to LOI / broker diligence.
"22030 Sherman Way, Canoga Park CA 91303",,8434.0,Strong Buy,79,28.8,Advance to LOI / broker diligence.
"5353-5363 Balboa Blvd, Encino CA 91316",,2768.0,Viable,66,20.9,Pursue with a differentiation plan; confirm suite + lease terms.
"11200 Corbin Ave, Northridge CA 91326",,4800.0,Strong Buy,89,42.9,Advance to LOI / broker diligence.
"9029 Reseda Blvd, Northridge CA 91324",,3000.0,Strong Buy,83,38.7,Advance to LOI / broker diligence.
"16430-16438 Vanowen St, Van Nuys CA 91406",,4500.0,Strong Buy,72,35.4,Advance to LOI / broker diligence.
"555 Marin St, Thousand Oaks CA 91360",,1374.0,Viable,67,11.7,Pursue with a differentiation plan; confirm suite + lease terms.
"2625 Townsgate Rd, Westlake Village CA 91361",,55479.0,Strong Buy,75,14.4,Advance to LOI / broker diligence.
"18411 Clark St, Tarzana CA 91356",,4652.0,Strong Buy,74,15.6,Advance to LOI / broker diligence.
"16250 Ventura Blvd, Encino CA 91436",,4919.0,Strong Buy,84,70.1,Advance to LOI / broker diligence.
"850 Patriot Dr, Moorpark CA 93021",,16722.0,Strong Buy,89,61.8,Advance to LOI / broker diligence.
"1687 Erringer Rd, Simi Valley CA 93065",,6702.0,Strong Buy,85,66.9,Advance to LOI / broker diligence.
"18226 Ventura Blvd, Tarzana CA 91356",,3581.0,Viable,69,13.2,Pursue with a differentiation plan; confirm suite + lease terms.
"14124 Foothill Blvd, Sylmar CA 91342",,1586.0,Strong Buy,87,41.9,Advance to LOI / broker diligence.
"23111 Ventura Blvd, Woodland Hills CA 91364",,1490.0,Strong Buy,81,20.2,Advance to LOI / broker diligence.
"8345 Reseda Blvd, Northridge CA 91324",,2200.0,Strong Buy,83,29.8,Advance to LOI / broker diligence.
"18425 Burbank Blvd, Tarzana CA 91356",,6407.0,Strong Buy,74,15.6,Advance to LOI / broker diligence.
"5775 E Los Angeles Ave, Simi Valley CA 93063",,5333.0,Strong Buy,91,41.3,Advance to LOI / broker diligence.
"2955 N Moorpark Rd, Thousand Oaks CA 91360",,2450.0,Strong Buy,78,17.3,Advance to LOI / broker diligence.
"29575 Canwood St, Agoura Hills CA 91301",,20080.0,Strong Buy,83,16.6,Advance to LOI / broker diligence.
"3637-3755 E Thousand Oaks Blvd, Thousand Oaks CA 91362",,7847.0,Strong Buy,76,14.4,Advance to LOI / broker diligence.
"18356-18388 Clark St, Tarzana CA 91356",,3089.0,Strong Buy,73,15.2,Advance to LOI / broker diligence.
"18437 Saticoy St, Reseda CA 91335",,1600.0,Strong Buy,72,64.2,Advance to LOI / broker diligence.
"10515 Balboa Blvd, Granada Hills CA 91344",,7138.0,Strong Buy,85,36.3,Advance to LOI / broker diligence.
"2125 E Thousand Oaks Blvd, Thousand Oaks CA 91362",,1410.0,Strong Buy,77,14.9,Advance to LOI / broker diligence.
"23928 Lyons Ave, Santa Clarita CA 91321",,1621.0,Strong Buy,86,19.5,Advance to LOI / broker diligence.
"10230-10234 Canoga Ave, Chatsworth CA 91311",,1977.0,Strong Buy,85,92.6,Advance to LOI / broker diligence.
"9535 Reseda Blvd, Northridge CA 91324",,803.0,Strong Buy,83,38.2,Advance to LOI / broker diligence.
"3175 Old Conejo Rd, Thousand Oaks CA 91320",,1812.0,Strong Buy,83,39.0,Advance to LOI / broker diligence.
"18511 Sherman Way, Reseda CA 91335",,2500.0,Strong Buy,72,87.1,Advance to LOI / broker diligence.
"22062 Ventura Blvd, Woodland Hills CA 91364",,1500.0,Strong Buy,81,28.8,Advance to LOI / broker diligence.
"29219 Canwood St, Agoura Hills CA 91301",,15595.0,Strong Buy,84,17.9,Advance to LOI / broker diligence.
"351 Rolling Oaks Dr, Thousand Oaks CA 91361",,7790.0,Viable,69,11.2,Pursue with a differentiation plan; confirm suite + lease terms.
"18321 Ventura Blvd, Tarzana CA 91356",,22748.0,Strong Buy,73,14.9,Advance to LOI / broker diligence.
"1720 E Los Angeles Ave, Simi Valley CA 93065",,6328.0,Strong Buy,85,65.4,Advance to LOI / broker diligence.
"19500-19510 Ventura Blvd, Tarzana CA 91356",,14067.0,Viable,62,9.8,Pursue with a differentiation plan; confirm suite + lease terms.
"22110 Roscoe Blvd, Canoga Park CA 91304",,11855.0,Strong Buy,79,33.3,Advance to LOI / broker diligence.
"18433 Roscoe Blvd, Northridge CA 91325",,1911.0,Strong Buy,74,32.2,Advance to LOI / broker diligence.
"19231 Victory Blvd, Reseda CA 91335",,11756.0,Strong Buy,72,38.1,Advance to LOI / broker diligence.
"5348 Topanga Canyon Blvd, Woodland Hills CA 91364",,8966.0,Strong Buy,81,28.3,Advance to LOI / broker diligence.
"2660 Townsgate Rd, Westlake Village CA 91361",,2400.0,Strong Buy,75,14.5,Advance to LOI / broker diligence.
"19730 Ventura Blvd, Woodland Hills CA 91364",,23802.0,Viable,67,10.2,Pursue with a differentiation plan; confirm suite + lease terms.
"6024 Fallbrook Ave, Woodland Hills CA 91367",,2956.0,Strong Buy,78,54.7,Advance to LOI / broker diligence.
"16380 Roscoe Blvd, Van Nuys CA 91406",,55389.0,Strong Buy,72,20.6,Advance to LOI / broker diligence.
"16542 Ventura Blvd, Encino CA 91436",,4650.0,Strong Buy,84,60.4,Advance to LOI / broker diligence.
"317-325 S Moorpark Rd, Thousand Oaks CA 91361",,6370.0,Viable,64,9.1,Pursue with a differentiation plan; confirm suite + lease terms.
"16200 Ventura Blvd, Encino CA 91436",,7977.0,Strong Buy,84,69.4,Advance to LOI / broker diligence.
"9335 Reseda Blvd, Northridge CA 91324",,2800.0,Strong Buy,83,39.3,Advance to LOI / broker diligence.
"101 Hodencamp Rd, Thousand Oaks CA 91360",,1513.0,Viable,70,13.0,Pursue with a differentiation plan; confirm suite + lease terms.
"18625 Sherman Way, Reseda CA 91335",,2288.0,Strong Buy,72,87.1,Advance to LOI / broker diligence.
"17742-17750 Sherman Way, Reseda CA 91335",,3973.0,Strong Buy,72,40.5,Advance to LOI / broker diligence.
"18801 Ventura Blvd, Tarzana CA 91356",,9125.0,Strong Buy,78,21.3,Advance to LOI / broker diligence.
"28030 Dorothy Dr, Agoura Hills CA 91301",,6493.0,Strong Buy,84,20.3,Advance to LOI / broker diligence.
"8949 Reseda Blvd, Northridge CA 91324",,7470.0,Strong Buy,83,38.0,Advance to LOI / broker diligence.
"32144 Agoura Rd, Westlake Village CA 91361",,4604.0,Viable,70,11.8,Pursue with a differentiation plan; confirm suite + lease terms.
"18250 Roscoe Blvd, Northridge CA 91325",,2156.0,Strong Buy,74,31.7,Advance to LOI / broker diligence.
"2051 Solar Dr, Oxnard CA 93036",,10036.0,Strong Buy,82,20.1,Advance to LOI / broker diligence.
"18840-18850 Ventura Blvd, Tarzana CA 91356",,1625.0,Strong Buy,78,20.1,Advance to LOI / broker diligence.
"375 Rolling Oaks Dr, Thousand Oaks CA 91361",,17402.0,Viable,69,11.2,Pursue with a differentiation plan; confirm suite + lease terms.
"2755 Alamo St, Simi Valley CA 93065",,10211.0,Strong Buy,85,54.7,Advance to LOI / broker diligence.
"28040 Dorothy Dr, Agoura Hills CA 91301",,3550.0,Strong Buy,84,20.3,Advance to LOI / broker diligence.
"5115 Clareton Dr, Agoura Hills CA 91301",,3004.0,Strong Buy,84,19.1,Advance to LOI / broker diligence.
"23622 Calabasas Rd, Calabasas CA 91302",,150.0,Strong Buy,85,26.2,Advance to LOI / broker diligence.
"11550 Indian Hills Rd, Mission Hills CA 91345",,16005.0,Strong Buy,88,37.2,Advance to LOI / broker diligence.
"17835 Ventura Blvd, Encino CA 91316",,19073.0,Strong Buy,74,66.4,Advance to LOI / broker diligence.
"3901 Las Posas Rd, Camarillo CA 93010",,14948.0,Strong Buy,90,47.3,Advance to LOI / broker diligence.
"4766 Park Granada, Calabasas CA 91302",,3126.0,Strong Buy,85,26.5,Advance to LOI / broker diligence.
"18370 Burbank Blvd, Tarzana CA 91356",,5248.0,Strong Buy,74,15.8,Advance to LOI / broker diligence.
"7620 Lindley Ave, Reseda CA 91335",,2299.0,Strong Buy,72,50.5,Advance to LOI / broker diligence.
"23388 Mulholland Dr, Woodland Hills CA 91364",,15430.0,Strong Buy,78,15.7,Advance to LOI / broker diligence.
"17609 Ventura Blvd, Encino CA 91316",,2239.0,Strong Buy,74,66.6,Advance to LOI / broker diligence.
"22950 Vanowen St, West Hills CA 91307",,2034.0,Strong Buy,88,47.7,Advance to LOI / broker diligence.
"16633 Ventura Blvd, Encino CA 91436",,23909.0,Strong Buy,84,54.4,Advance to LOI / broker diligence.
"5620 Wilbur Ave, Tarzana CA 91356",,8132.0,Strong Buy,78,18.3,Advance to LOI / broker diligence.
"11600 Indian Hills Rd, Mission Hills CA 91345",,12196.0,Strong Buy,88,37.2,Advance to LOI / broker diligence.
"2650 Jones Way, Simi Valley CA 93065",,7155.0,Strong Buy,85,54.0,Advance to LOI / broker diligence.
"29525 Canwood St, Agoura Hills CA 91301",,20407.0,Strong Buy,83,16.8,Advance to LOI / broker diligence.
"2950 Sycamore Dr, Simi Valley CA 93065",,6382.0,Strong Buy,85,53.6,Advance to LOI / broker diligence.
"23101 Sherman Pl, Canoga Park CA 91307",,21353.0,Strong Buy,88,51.5,Advance to LOI / broker diligence.
"18350 Roscoe Blvd, Northridge CA 91325",,12114.0,Strong Buy,74,32.0,Advance to LOI / broker diligence.
"19234 Vanowen St, Reseda CA 91335",,8700.0,Strong Buy,72,49.6,Advance to LOI / broker diligence.
"24355 Lyons Ave, Santa Clarita CA 91321",,5865.0,Strong Buy,86,18.2,Advance to LOI / broker diligence.
"696 Hampshire Rd, Westlake Village CA 91361",,8567.0,Strong Buy,76,15.0,Advance to LOI / broker diligence.
"3180 Willow Ln, Thousand Oaks CA 91361",,8405.0,Strong Buy,75,14.4,Advance to LOI / broker diligence.
"5400 Balboa Blvd, Encino CA 91316",,11510.0,Viable,66,20.7,Pursue with a differentiation plan; confirm suite + lease terms.
"7320 Woodlake Ave, West Hills CA 91307",,7434.0,Strong Buy,88,51.1,Advance to LOI / broker diligence.
"5525 Etiwanda Ave, Tarzana CA 91356",,27633.0,Viable,70,13.7,Pursue with a differentiation plan; confirm suite + lease terms.
"Corner of Nordhoff St. 91325 & Reseda Blvd 91324, Northridge CA 91324",,70072.0,Strong Buy,83,39.1,Advance to LOI / broker diligence.
"2888 Cochran St, Simi Valley CA 93065",,7020.0,Strong Buy,85,56.2,Advance to LOI / broker diligence.
"725 Lakefield Rd, Westlake Village CA 91361",,1950.0,Strong Buy,76,15.0,Advance to LOI / broker diligence.
